text,label
Congratulations! You won a tablet. Click here to claim now GeNkKkxn,Spam
Happy Birthday! Have a great year ahead 2cS1N1R7,Not Spam
Can you send me the project files? TSldiSa0,Not Spam
Final reminder: Your loan of ₹2708 is approved 9Nth8K2E,Spam
Exclusive deal on bike. Order before it ends vr1Y9OHO,Spam
Let's catch up over coffee this weekend Gbf8gadq,Not Spam
You have been selected for a free iPhone. Register today g0N3TmVt,Spam
Can you send me the project files? sKQZ9357,Not Spam
Please find the attached report for your review tSHaEpQC,Not Spam
Please find the attached report for your review 3avcx3Kr,Not Spam
Win a brand new smartwatch by entering this contest 2c2iaeKp,Spam
Let's catch up over coffee this weekend JaO5JRu2,Not Spam
Final reminder: Your loan of ₹2588 is approved 5tmnNMoU,Spam
Reminder: Submit your assignment by tonight da5IptGj,Not Spam
Thank you for your purchase 0mVj9omx,Not Spam
Win a brand new smartwatch by entering this contest r0s6nDTp,Spam
Hot sale on laptop. Don’t miss out QrxLA2LR,Spam
Please find the attached report for your review aKkJQXP1,Not Spam
Final reminder: Your loan of ₹3554 is approved vDBXiOOS,Spam
Your order has been shipped and will arrive soon mWPnyMHl,Not Spam
Final reminder: Your loan of ₹7158 is approved 1G1Oo6lp,Spam
Urgent! Your account is suspended. Verify immediately TtzV4tUB,Spam
The event starts at 10 AM tomorrow lhNPNEud,Not Spam
Earn ₹2504 per day from home. Join now i2ZINWn4,Spam
Claim your cashback of ₹3823 today EZ1wDyQ9,Spam
Claim your cashback of ₹8241 today llCKhEXQ,Spam
Hot sale on headphones. Don’t miss out Vi6QX8NN,Spam
You have been selected for a free gift card. Register today KbEx51PT,Spam
Please confirm your availability for the interview OCDnZIMU,Not Spam
Earn ₹4877 per day from home. Join now ZVpKqP6w,Spam
Thank you for your purchase r33xyVxk,Not Spam
Exclusive deal on laptop. Order before it ends yeTF1v9j,Spam
Limited time offer! Get 33% discount on TV. Buy now xnTIVfHM,Spam
Let's catch up over coffee this weekend X5HFIScJ,Not Spam
Hot sale on gift card. Don’t miss out 0bHkfCOX,Spam
Exclusive deal on iPhone. Order before it ends jfW60Oyr,Spam
Can you send me the project files? xv8hQALX,Not Spam
Hot sale on TV. Don’t miss out pQAc3jbc,Spam
The event starts at 10 AM tomorrow XRkyA9XC,Not Spam
Limited time offer! Get 14% discount on tablet. Buy now khgwLzps,Spam
Please find the attached report for your review KQYZAJMG,Not Spam
Exclusive deal on smartwatch. Order before it ends 6YHaISqA,Spam
Please confirm your availability for the interview VhtzUVYm,Not Spam
Final reminder: Your loan of ₹2983 is approved hpegv7zY,Spam
Please confirm your availability for the interview zc60cmuI,Not Spam
Exclusive deal on iPhone. Order before it ends 6l2dhHCO,Spam
Reminder: Submit your assignment by tonight gSbefcL3,Not Spam
Your order has been shipped and will arrive soon knOPaZ9l,Not Spam
Final reminder: Your loan of ₹995 is approved 1VcIBXJM,Spam
Claim your cashback of ₹2200 today ZueK66uo,Spam
Urgent! Your account is suspended. Verify immediately qNXHCL4k,Spam
You have been selected for a free tablet. Register today j6gabOvK,Spam
Congratulations! You won a tablet. Click here to claim now TZdlAPqK,Spam
Please find the attached report for your review HMrkaPlY,Not Spam
Urgent! Your account is suspended. Verify immediately DHBl9rHG,Spam
Urgent! Your account is suspended. Verify immediately GxW0y1SH,Spam
Exclusive deal on headphones. Order before it ends J92q5fPq,Spam
Reminder: Submit your assignment by tonight 64eG8F8c,Not Spam
Please confirm your availability for the interview prDw2o2S,Not Spam
Thank you for your purchase Z1nziudI,Not Spam
Urgent! Your account is suspended. Verify immediately p1JSHZZK,Spam
Claim your cashback of ₹3530 today 6nrSZlg3,Spam
Earn ₹9835 per day from home. Join now uplXt8Ph,Spam
Congratulations! You won a laptop. Click here to claim now hQNM8Rny,Spam
Exclusive deal on gift card. Order before it ends M18fFdq0,Spam
"Hi, can we reschedule our meeting to tomorrow? rfjjLw74",Not Spam
Please confirm your availability for the interview DFPZbNj7,Not Spam
Reminder: Submit your assignment by tonight cbiVjQD5,Not Spam
Let's catch up over coffee this weekend 7h2DF6Xz,Not Spam
Happy Birthday! Have a great year ahead fECDn1IT,Not Spam
Can you send me the project files? nnni4TIl,Not Spam
Limited time offer! Get 40% discount on TV. Buy now E4TMJN0b,Spam
Thank you for your purchase 6Tzfa3OQ,Not Spam
"Hi, can we reschedule our meeting to tomorrow? SoWoHWd0",Not Spam
Can you send me the project files? siFDW6jB,Not Spam
Congratulations! You won a headphones. Click here to claim now Cxyj8v0V,Spam
Thank you for your purchase YnK4fCIW,Not Spam
Your order has been shipped and will arrive soon LhqPVdID,Not Spam
Claim your cashback of ₹9012 today Qs7Q1x0s,Spam
The event starts at 10 AM tomorrow nJSdoo4I,Not Spam
The event starts at 10 AM tomorrow Apu393N8,Not Spam
Congratulations! You won a TV. Click here to claim now 6SGNtqaX,Spam
Happy Birthday! Have a great year ahead KcfohufO,Not Spam
Win a brand new gift card by entering this contest s5kuXbmO,Spam
Urgent! Your account is suspended. Verify immediately x52NaHYc,Spam
Hot sale on laptop. Don’t miss out DBiQYhm6,Spam
The event starts at 10 AM tomorrow aA7l9x9i,Not Spam
The event starts at 10 AM tomorrow 6QAMGfbi,Not Spam
Win a brand new gift card by entering this contest Qr7Jr2Ms,Spam
Final reminder: Your loan of ₹2168 is approved GVmh5wSB,Spam
Final reminder: Your loan of ₹4057 is approved 6EeaVwpD,Spam
Earn ₹5030 per day from home. Join now GFayWaRv,Spam
Limited time offer! Get 36% discount on bike. Buy now srGRVOkq,Spam
You have been selected for a free tablet. Register today vyYwunco,Spam
Hot sale on bike. Don’t miss out 79TtxhQY,Spam
Happy Birthday! Have a great year ahead 7yXhnqPf,Not Spam
Please find the attached report for your review vuReUcdh,Not Spam
Claim your cashback of ₹3877 today QNorlcgg,Spam
Earn ₹6007 per day from home. Join now JPHHQ1xb,Spam
Let's catch up over coffee this weekend N7MX6qsi,Not Spam
Earn ₹7218 per day from home. Join now 7mVu9xdb,Spam
Earn ₹7222 per day from home. Join now hgRfOuGF,Spam
Limited time offer! Get 21% discount on bike. Buy now 2rnLDlpv,Spam
Reminder: Submit your assignment by tonight JQaUxeMC,Not Spam
Exclusive deal on iPhone. Order before it ends HY7fuiXZ,Spam
Earn ₹5366 per day from home. Join now 8AVtdCon,Spam
Please find the attached report for your review Vt1B6ugb,Not Spam
Hot sale on tablet. Don’t miss out WMocSpi2,Spam
Can you send me the project files? WymkoYa0,Not Spam
Final reminder: Your loan of ₹7885 is approved uSjcCN09,Spam
Thank you for your purchase BfuMZ8L2,Not Spam
Your order has been shipped and will arrive soon o0wTbqgi,Not Spam
Congratulations! You won a iPhone. Click here to claim now IKHP8gkQ,Spam
Urgent! Your account is suspended. Verify immediately oPlAxLCh,Spam
"Hi, can we reschedule our meeting to tomorrow? AJKAOVAd",Not Spam
Win a brand new laptop by entering this contest 6Eda9D6b,Spam
Please confirm your availability for the interview 10sdxZPQ,Not Spam
Thank you for your purchase B0sKaJdj,Not Spam
Can you send me the project files? tlibLnte,Not Spam
Claim your cashback of ₹4472 today Qs1FfdK8,Spam
You have been selected for a free smartwatch. Register today OFIthd4Z,Spam
Congratulations! You won a laptop. Click here to claim now ruictgA6,Spam
Happy Birthday! Have a great year ahead mBqIRzSW,Not Spam
Urgent! Your account is suspended. Verify immediately xeSEEicX,Spam
Congratulations! You won a smartwatch. Click here to claim now Zeu0vCj4,Spam
Reminder: Submit your assignment by tonight GxK4tKIE,Not Spam
Thank you for your purchase JfvLV5xg,Not Spam
Final reminder: Your loan of ₹6577 is approved eth4Eauj,Spam
Your order has been shipped and will arrive soon 9LWcPavm,Not Spam
Congratulations! You won a smartwatch. Click here to claim now lU0JdmcF,Spam
Can you send me the project files? vN6Dh2Ut,Not Spam
You have been selected for a free TV. Register today Edu1wE6q,Spam
Urgent! Your account is suspended. Verify immediately foFRpeeA,Spam
Final reminder: Your loan of ₹3045 is approved FbxSrKkc,Spam
Thank you for your purchase 89GGPttS,Not Spam
Win a brand new TV by entering this contest dTv67NBP,Spam
Limited time offer! Get 42% discount on bike. Buy now wJNGYZCg,Spam
Earn ₹7844 per day from home. Join now WYbkUIg1,Spam
Please confirm your availability for the interview ZYGpwnmb,Not Spam
Thank you for your purchase Mt86c6IH,Not Spam
Let's catch up over coffee this weekend oFb42BGw,Not Spam
Happy Birthday! Have a great year ahead QJ6NIa57,Not Spam
Final reminder: Your loan of ₹1729 is approved PhXeDAy1,Spam
Earn ₹7285 per day from home. Join now Hk0wbsUb,Spam
Final reminder: Your loan of ₹3078 is approved zz66RBQE,Spam
Claim your cashback of ₹9113 today Cyeuw3a4,Spam
Earn ₹2776 per day from home. Join now VCqEBdca,Spam
Please confirm your availability for the interview GCapv8Nb,Not Spam
Hot sale on iPhone. Don’t miss out 8WaNGym3,Spam
Let's catch up over coffee this weekend 4JAIeKHL,Not Spam
Please find the attached report for your review 2tOqcfp2,Not Spam
Happy Birthday! Have a great year ahead 6UWYi8Qf,Not Spam
Urgent! Your account is suspended. Verify immediately A0G2zkuA,Spam
Please confirm your availability for the interview orYP7Csd,Not Spam
"Hi, can we reschedule our meeting to tomorrow? 17IRQeEy",Not Spam
Limited time offer! Get 22% discount on headphones. Buy now IyQmCq4p,Spam
Exclusive deal on headphones. Order before it ends oc80DAKV,Spam
Exclusive deal on TV. Order before it ends QCbdKxej,Spam
Please confirm your availability for the interview fBpKakVf,Not Spam
Earn ₹7660 per day from home. Join now EmhyGoZh,Spam
Please find the attached report for your review riS3ggGN,Not Spam
The event starts at 10 AM tomorrow 1BTAGHGY,Not Spam
Exclusive deal on tablet. Order before it ends RRVkZH1e,Spam
Let's catch up over coffee this weekend ikSlt01x,Not Spam
Happy Birthday! Have a great year ahead Di5Y5DA6,Not Spam
Exclusive deal on bike. Order before it ends g34gDeq9,Spam
Hot sale on smartwatch. Don’t miss out Z5l6iGrE,Spam
"Hi, can we reschedule our meeting to tomorrow? mohZ9dHp",Not Spam
You have been selected for a free smartwatch. Register today ujclB0Cz,Spam
"Hi, can we reschedule our meeting to tomorrow? tM6z54NX",Not Spam
Please find the attached report for your review Q9LD6nHw,Not Spam
Claim your cashback of ₹9757 today opql3ay4,Spam
Please confirm your availability for the interview ze7pQeON,Not Spam
Your order has been shipped and will arrive soon j6yhIpxu,Not Spam
Urgent! Your account is suspended. Verify immediately JwGVhrsD,Spam
Happy Birthday! Have a great year ahead atU8yWoc,Not Spam
Claim your cashback of ₹4682 today PyEzvivz,Spam
You have been selected for a free TV. Register today 4Kfgq6xT,Spam
Urgent! Your account is suspended. Verify immediately OrCpNcg4,Spam
Reminder: Submit your assignment by tonight 61BCnEpk,Not Spam
Reminder: Submit your assignment by tonight GlADV5Be,Not Spam
Please confirm your availability for the interview SDdil06N,Not Spam
Reminder: Submit your assignment by tonight V1Im0iRY,Not Spam
Thank you for your purchase JYsY7uNE,Not Spam
Please confirm your availability for the interview Werkv0f8,Not Spam
The event starts at 10 AM tomorrow Ze478UKF,Not Spam
Win a brand new iPhone by entering this contest Rj2AQ33I,Spam
Final reminder: Your loan of ₹3936 is approved R58iE2bP,Spam
Happy Birthday! Have a great year ahead iFwEiAry,Not Spam
Hot sale on iPhone. Don’t miss out CzpqmQKP,Spam
Win a brand new laptop by entering this contest f9mFebo1,Spam
Claim your cashback of ₹7540 today swvS8tNb,Spam
Please confirm your availability for the interview xhzUnTJ6,Not Spam
Please find the attached report for your review 7a9m2KJG,Not Spam
Hot sale on laptop. Don’t miss out tnJaRSfo,Spam
Final reminder: Your loan of ₹9079 is approved kErs180G,Spam
The event starts at 10 AM tomorrow oH4NXy4p,Not Spam
Please confirm your availability for the interview BKuv8MJo,Not Spam
Thank you for your purchase YjvG35yB,Not Spam
Final reminder: Your loan of ₹5873 is approved nnpjzs1C,Spam
Earn ₹3171 per day from home. Join now rWFz6HcZ,Spam
Exclusive deal on tablet. Order before it ends mR87SBeL,Spam
Please confirm your availability for the interview e2LBkZWj,Not Spam
Please confirm your availability for the interview xkKrUFET,Not Spam
Claim your cashback of ₹2129 today LoJRyq9y,Spam
Final reminder: Your loan of ₹9748 is approved lBW0uA78,Spam
Exclusive deal on tablet. Order before it ends BqdsTJF8,Spam
Claim your cashback of ₹6129 today bzA9P16f,Spam
Urgent! Your account is suspended. Verify immediately JyBiHarb,Spam
Thank you for your purchase skM6qE26,Not Spam
You have been selected for a free smartwatch. Register today kMzuxz7B,Spam
Earn ₹4436 per day from home. Join now OeKZZmL0,Spam
Let's catch up over coffee this weekend vcgGLCoN,Not Spam
Your order has been shipped and will arrive soon TFaSbaEO,Not Spam
"Hi, can we reschedule our meeting to tomorrow? UT9LDSt0",Not Spam
Limited time offer! Get 73% discount on smartwatch. Buy now 7ZKynCjT,Spam
Reminder: Submit your assignment by tonight 3fpK3HoC,Not Spam
Let's catch up over coffee this weekend en4qgB2K,Not Spam
Final reminder: Your loan of ₹2767 is approved qeK6IdJJ,Spam
Can you send me the project files? C3YfFfCn,Not Spam
Final reminder: Your loan of ₹8452 is approved 2RI4b6Qj,Spam
Reminder: Submit your assignment by tonight 30qCsuwF,Not Spam
You have been selected for a free laptop. Register today izH89zdy,Spam
Hot sale on headphones. Don’t miss out rKJgmHDd,Spam
Final reminder: Your loan of ₹7289 is approved lBBGDa76,Spam
Thank you for your purchase 0UlGDLbE,Not Spam
Please confirm your availability for the interview TnOObq3P,Not Spam
Happy Birthday! Have a great year ahead GeYjm91g,Not Spam
Thank you for your purchase bo8vck7W,Not Spam
Let's catch up over coffee this weekend 4ZcMiYFM,Not Spam
Final reminder: Your loan of ₹1016 is approved yYYebuOt,Spam
Your order has been shipped and will arrive soon 9Pr1Or2s,Not Spam
The event starts at 10 AM tomorrow D7dGomge,Not Spam
"Hi, can we reschedule our meeting to tomorrow? 3YgjYv6Q",Not Spam
Claim your cashback of ₹1797 today UOMUyuJu,Spam
Please find the attached report for your review GYIbLxKT,Not Spam
"Hi, can we reschedule our meeting to tomorrow? agNaz1DC",Not Spam
Thank you for your purchase ETRVoxde,Not Spam
"Hi, can we reschedule our meeting to tomorrow? I6iFJU2x",Not Spam
Final reminder: Your loan of ₹1700 is approved Hd9SlnVv,Spam
You have been selected for a free bike. Register today p7JybP22,Spam
Final reminder: Your loan of ₹8284 is approved NwIJvduw,Spam
Can you send me the project files? klB8tzJI,Not Spam
Your order has been shipped and will arrive soon GDxG5tlB,Not Spam
Earn ₹2082 per day from home. Join now 7TN99Tv2,Spam
Your order has been shipped and will arrive soon 6qRop2sc,Not Spam
Exclusive deal on iPhone. Order before it ends D0SMHuT7,Spam
Win a brand new bike by entering this contest XLcsbMxU,Spam
Urgent! Your account is suspended. Verify immediately YzjZ4BTr,Spam
Limited time offer! Get 26% discount on iPhone. Buy now Sr1mhTMN,Spam
Earn ₹9447 per day from home. Join now 7fWjl9ts,Spam
"Hi, can we reschedule our meeting to tomorrow? lMJdW9D4",Not Spam
"Hi, can we reschedule our meeting to tomorrow? ykYZzyXH",Not Spam
Let's catch up over coffee this weekend jY0P43W8,Not Spam
Exclusive deal on tablet. Order before it ends l1GvpTfc,Spam
Claim your cashback of ₹3095 today KFD8phuE,Spam
Reminder: Submit your assignment by tonight ZgyCkeiN,Not Spam
Final reminder: Your loan of ₹8299 is approved dOSIniol,Spam
Congratulations! You won a bike. Click here to claim now 0wKn8JLV,Spam
Thank you for your purchase 2u2D1dzS,Not Spam
Urgent! Your account is suspended. Verify immediately YwvS3n50,Spam
You have been selected for a free TV. Register today AB8bNDcK,Spam
"Hi, can we reschedule our meeting to tomorrow? 2inonZ3G",Not Spam
Your order has been shipped and will arrive soon BLacJdB2,Not Spam
Please confirm your availability for the interview PPiFofWx,Not Spam
"Hi, can we reschedule our meeting to tomorrow? 9aK8XOyA",Not Spam
Limited time offer! Get 52% discount on smartwatch. Buy now i9ZeR5Nn,Spam
You have been selected for a free tablet. Register today DaMRYxOv,Spam
Earn ₹7769 per day from home. Join now mNJMoRkd,Spam
Please find the attached report for your review FPc43CrH,Not Spam
Reminder: Submit your assignment by tonight 5w7ugGHi,Not Spam
You have been selected for a free tablet. Register today xTMFh8MY,Spam
Claim your cashback of ₹4986 today dI8GxZO2,Spam
Happy Birthday! Have a great year ahead MSjvaCH3,Not Spam
Reminder: Submit your assignment by tonight 4QTbIgYx,Not Spam
Please find the attached report for your review HGnBhHkp,Not Spam
Final reminder: Your loan of ₹8159 is approved FggC2Quw,Spam
Final reminder: Your loan of ₹5727 is approved WSRzuVlQ,Spam
Please confirm your availability for the interview asnuhZkI,Not Spam
Claim your cashback of ₹6804 today 9fezcpTW,Spam
Please find the attached report for your review qe3FaFte,Not Spam
Can you send me the project files? UhL3xdBm,Not Spam
Exclusive deal on laptop. Order before it ends kbT7aDSe,Spam
Reminder: Submit your assignment by tonight zBuhVHBN,Not Spam
